,CNO,SEX,AGGT,DIV,DETAILED SUBJECTS,centre_ref,centre_name,region
0,S0205/0001,F,20,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'C' LIT ENG - 'C' PHY - 'D' CHEM - 'D' BIO - 'B' B/MATH - 'D',S0205,KIBOSHO GIRLS,KILIMANJARO
1,S0205/0002,F,15,I,CIV - 'C' HIST - 'B' GEO - 'C' KISW - 'B' ENGL - 'B' PHY - 'C' CHEM - 'C' BIO - 'A' COMP STUD - 'B' B/MATH - 'C',S0205,KIBOSHO GIRLS,KILIMANJARO
2,S0205/0003,F,18,II,CIV - 'D' HIST - 'D' GEO - 'C' KISW - 'C' ENGL - 'A' LIT ENG - 'C' BIO - 'B' B/MATH - 'D' COMM - 'C' B/KEEPING - 'C',S0205,KIBOSHO GIRLS,KILIMANJARO
3,S0205/0004,F,22,III,CIV - 'D' HIST - 'D' GEO - 'C' KISW - 'C' ENGL - 'C' LIT ENG - 'C' BIO - 'C' B/MATH - 'F' COMM - 'D' B/KEEPING - 'C',S0205,KIBOSHO GIRLS,KILIMANJARO
4,S0205/0005,F,15,I,CIV - 'C' HIST - 'B' GEO - 'C' KISW - 'B' ENGL - 'B' LIT ENG - 'B' PHY - 'C' CHEM - 'C' BIO - 'A' B/MATH - 'C',S0205,KIBOSHO GIRLS,KILIMANJARO
5,S0205/0006,F,17,I,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'A' FREN - 'D' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'C',S0205,KIBOSHO GIRLS,KILIMANJARO
6,S0205/0007,F,14,I,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'B' LIT ENG - 'B' BIO - 'A' B/MATH - 'D' COMM - 'B' B/KEEPING - 'B',S0205,KIBOSHO GIRLS,KILIMANJARO
7,S0205/0008,F,20,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'C' LIT ENG - 'C' BIO - 'B' B/MATH - 'C' COMM - 'C' B/KEEPING - 'C',S0205,KIBOSHO GIRLS,KILIMANJARO
8,S0205/0009,F,19,II,CIV - 'C' HIST - 'D' GEO - 'C' KISW - 'C' ENGL - 'B' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'C',S0205,KIBOSHO GIRLS,KILIMANJARO
9,S0205/0010,F,16,I,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'B' LIT ENG - 'C' PHY - 'C' CHEM - 'C' BIO - 'A' B/MATH - 'B',S0205,KIBOSHO GIRLS,KILIMANJARO
10,S0205/0011,F,25,III,CIV - 'D' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'D' PHY - 'F' CHEM - 'D' BIO - 'C' B/MATH - 'D',S0205,KIBOSHO GIRLS,KILIMANJARO
11,S0205/0012,F,21,II,CIV - 'C' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'C' BIO - 'C' B/MATH - 'C' COMM - 'C' B/KEEPING - 'C',S0205,KIBOSHO GIRLS,KILIMANJARO
12,S0205/0013,F,19,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'B' BIO - 'B' COMP STUD - 'C' B/MATH - 'D',S0205,KIBOSHO GIRLS,KILIMANJARO
13,S0205/0014,F,23,III,CIV - 'D' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'C' PHY - 'F' CHEM - 'C' BIO - 'C' B/MATH - 'D',S0205,KIBOSHO GIRLS,KILIMANJARO
14,S0205/0015,F,19,II,CIV - 'C' HIST - 'D' GEO - 'C' KISW - 'B' ENGL - 'C' FREN - 'C' BIO - 'B' B/MATH - 'C' COMM - 'C' B/KEEPING - 'C',S0205,KIBOSHO GIRLS,KILIMANJARO
15,S0205/0016,F,21,II,CIV - 'C' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'B' LIT ENG - 'C' BIO - 'C' B/MATH - 'D',S0205,KIBOSHO GIRLS,KILIMANJARO
16,S0205/0017,F,20,II,CIV - 'C' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'C' PHY - 'F' CHEM - 'C' BIO - 'B' COMP STUD - 'C' B/MATH - 'D',S0205,KIBOSHO GIRLS,KILIMANJARO
17,S0205/0018,F,25,III,CIV - 'D' HIST - 'D' GEO - 'D' B/KNOWL - 'D' KISW - 'C' ENGL - 'C' BIO - 'C' COMP STUD - 'D' B/MATH - 'F',S0205,KIBOSHO GIRLS,KILIMANJARO
18,S0205/0019,F,18,II,CIV - 'D' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'B' LIT ENG - 'C' PHY - 'D' CHEM - 'C' BIO - 'A' B/MATH - 'C',S0205,KIBOSHO GIRLS,KILIMANJARO
19,S0205/0020,F,18,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'B' LIT ENG - 'C' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'D',S0205,KIBOSHO GIRLS,KILIMANJARO
20,S0205/0021,F,20,II,CIV - 'C' HIST - 'D' GEO - 'D' KISW - 'B' ENGL - 'B' LIT ENG - 'C' PHY - 'F' CHEM - 'C' BIO - 'C' B/MATH - 'F',S0205,KIBOSHO GIRLS,KILIMANJARO
21,S0205/0022,F,24,III,CIV - 'D' HIST - 'D' GEO - 'C' KISW - 'C' ENGL - 'C' LIT ENG - 'C' BIO - 'D' B/MATH - 'D' COMM - 'D' B/KEEPING - 'D',S0205,KIBOSHO GIRLS,KILIMANJARO
