,CNO,SEX,AGGT,DIV,DETAILED SUBJECTS,centre_ref,centre_name,region
0,S0237/0001,F,20,II,CIV - 'C' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'C' CHEM - 'C' BIO - 'B' B/MATH - 'D' FOOD - 'C',S0237,ST. AGNES CHIPOLE,RUVUMA
1,S0237/0002,F,17,I,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'C' LIT ENG - 'C' PHY - 'C' CHEM - 'C' BIO - 'A' B/MATH - 'B',S0237,ST. AGNES CHIPOLE,RUVUMA
2,S0237/0003,F,26,IV,CIV - 'D' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'F' BIO - 'C' B/MATH - 'F',S0237,ST. AGNES CHIPOLE,RUVUMA
3,S0237/0004,F,21,II,CIV - 'C' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'D' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'C',S0237,ST. AGNES CHIPOLE,RUVUMA
4,S0237/0005,F,21,II,CIV - 'C' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'F' FOOD - 'C',S0237,ST. AGNES CHIPOLE,RUVUMA
5,S0237/0006,F,19,II,CIV - 'C' HIST - 'D' GEO - 'D' KISW - 'B' ENGL - 'C' LIT ENG - 'C' PHY - 'F' CHEM - 'C' BIO - 'B' B/MATH - 'C',S0237,ST. AGNES CHIPOLE,RUVUMA
6,S0237/0007,F,21,II,CIV - 'C' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'C' CHEM - 'C' BIO - 'C' B/MATH - 'F' FOOD - 'C',S0237,ST. AGNES CHIPOLE,RUVUMA
7,S0237/0008,F,20,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'C' LIT ENG - 'D' CHEM - 'D' BIO - 'B' B/MATH - 'C' FOOD - 'C',S0237,ST. AGNES CHIPOLE,RUVUMA
8,S0237/0009,F,23,III,CIV - 'D' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'C' CHEM - 'D' BIO - 'C' B/MATH - 'F' FOOD - 'C',S0237,ST. AGNES CHIPOLE,RUVUMA
9,S0237/0010,F,24,III,CIV - 'C' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'D' LIT ENG - 'D' BIO - 'C' B/MATH - 'F' FOOD - 'C',S0237,ST. AGNES CHIPOLE,RUVUMA
10,S0237/0011,F,23,III,CIV - 'C' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'D' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'F',S0237,ST. AGNES CHIPOLE,RUVUMA
11,S0237/0012,F,22,III,CIV - 'C' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'D' CHEM - 'D' BIO - 'C' B/MATH - 'F' FOOD - 'C',S0237,ST. AGNES CHIPOLE,RUVUMA
12,S0237/0013,F,19,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'B' LIT ENG - 'C' CHEM - 'C' BIO - 'B' B/MATH - 'D' FOOD - 'C',S0237,ST. AGNES CHIPOLE,RUVUMA
13,S0237/0014,F,21,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'C' LIT ENG - 'C' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'D',S0237,ST. AGNES CHIPOLE,RUVUMA
14,S0237/0015,F,20,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'B' LIT ENG - 'C' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'D',S0237,ST. AGNES CHIPOLE,RUVUMA
15,S0237/0016,F,27,IV,CIV - 'D' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'D' LIT ENG - 'F' BIO - 'C' B/MATH - 'F',S0237,ST. AGNES CHIPOLE,RUVUMA
16,S0237/0017,F,21,II,CIV - 'C' HIST - 'D' GEO - 'C' KISW - 'C' ENGL - 'C' LIT ENG - 'C' PHY - 'C' CHEM - 'C' BIO - 'C' B/MATH - 'C',S0237,ST. AGNES CHIPOLE,RUVUMA
17,S0237/0018,F,23,III,CIV - 'C' HIST - 'D' GEO - 'C' KISW - 'C' ENGL - 'C' LIT ENG - 'D' BIO - 'C' B/MATH - 'D',S0237,ST. AGNES CHIPOLE,RUVUMA
18,S0237/0019,F,21,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'C' LIT ENG - 'C' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'F',S0237,ST. AGNES CHIPOLE,RUVUMA
19,S0237/0020,F,21,II,CIV - 'C' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'C' BIO - 'C' B/MATH - 'D' FOOD - 'C',S0237,ST. AGNES CHIPOLE,RUVUMA
20,S0237/0021,F,23,III,CIV - 'C' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'D' BIO - 'C' B/MATH - 'F' FOOD - 'C',S0237,ST. AGNES CHIPOLE,RUVUMA
