,CNO,SEX,AGGT,DIV,DETAILED SUBJECTS,centre_ref,centre_name,region
0,S0152/0001,M,21,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'C' LIT ENG - 'C' BIO - 'C' B/MATH - 'F',S0152,SHINYANGA,SHINYANGA
1,S0152/0002,M,10,I,CIV - 'C' HIST - 'A' GEO - 'B' KISW - 'A' ENGL - 'C' LIT ENG - 'C' PHY - 'C' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0152,SHINYANGA,SHINYANGA
2,S0152/0003,M,12,I,CIV - 'B' HIST - 'A' GEO - 'B' KISW - 'B' ENGL - 'A' LIT ENG - 'C' PHY - 'C' CHEM - 'C' BIO - 'A' B/MATH - 'C',S0152,SHINYANGA,SHINYANGA
3,S0152/0004,M,16,I,CIV - 'C' HIST - 'B' GEO - 'B' KISW - 'C' ENGL - 'B' LIT ENG - 'C' PHY - 'D' CHEM - 'C' BIO - 'A' B/MATH - 'C',S0152,SHINYANGA,SHINYANGA
4,S0152/0005,M,25,III,CIV - 'D' HIST - 'C' GEO - 'C' KISW - 'D' ENGL - 'D' PHY - 'D' CHEM - 'D' BIO - 'C' B/MATH - 'D',S0152,SHINYANGA,SHINYANGA
5,S0152/0006,M,21,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'C' CHEM - 'D' BIO - 'C' B/MATH - 'D',S0152,SHINYANGA,SHINYANGA
6,S0152/0007,M,12,I,CIV - 'B' HIST - 'B' GEO - 'B' KISW - 'B' ENGL - 'A' LIT ENG - 'C' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'B',S0152,SHINYANGA,SHINYANGA
7,S0152/0008,M,12,I,CIV - 'C' HIST - 'B' GEO - 'B' KISW - 'B' ENGL - 'B' PHY - 'B' CHEM - 'B' BIO - 'A' B/MATH - 'A',S0152,SHINYANGA,SHINYANGA
8,S0152/0009,M,10,I,CIV - 'B' HIST - 'A' GEO - 'B' KISW - 'A' ENGL - 'A' LIT ENG - 'B' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'B',S0152,SHINYANGA,SHINYANGA
9,S0152/0010,M,8,I,CIV - 'C' HIST - 'A' GEO - 'A' KISW - 'A' ENGL - 'A' LIT ENG - 'B' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'A',S0152,SHINYANGA,SHINYANGA
10,S0152/0011,M,25,III,CIV - 'D' HIST - 'C' GEO - 'D' KISW - 'D' ENGL - 'D' LIT ENG - 'C' BIO - 'C' B/MATH - 'F',S0152,SHINYANGA,SHINYANGA
11,S0152/0012,M,-,ABS,CIV - 'X' HIST - 'X' GEO - 'X' KISW - 'X' ENGL - 'X' PHY - 'X' CHEM - 'X' BIO - 'X' B/MATH - 'X',S0152,SHINYANGA,SHINYANGA
12,S0152/0013,M,17,I,CIV - 'B' HIST - 'B' GEO - 'C' KISW - 'B' ENGL - 'C' LIT ENG - 'C' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'F',S0152,SHINYANGA,SHINYANGA
13,S0152/0014,M,34,0,CIV - 'F' HIST - 'F' GEO - 'F' KISW - 'D' ENGL - 'F' LIT ENG - 'F' BIO - 'F' B/MATH - 'F',S0152,SHINYANGA,SHINYANGA
14,S0152/0015,M,9,I,CIV - 'B' HIST - 'A' GEO - 'B' KISW - 'A' ENGL - 'B' LIT ENG - 'C' PHY - 'B' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0152,SHINYANGA,SHINYANGA
15,S0152/0016,M,8,I,CIV - 'B' HIST - 'A' GEO - 'A' KISW - 'A' ENGL - 'B' LIT ENG - 'B' PHY - 'B' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0152,SHINYANGA,SHINYANGA
16,S0152/0017,M,20,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'C' LIT ENG - 'C' PHY - 'C' CHEM - 'C' BIO - 'C' B/MATH - 'C',S0152,SHINYANGA,SHINYANGA
17,S0152/0018,M,17,I,CIV - 'C' HIST - 'B' GEO - 'C' KISW - 'B' ENGL - 'B' LIT ENG - 'D' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'C',S0152,SHINYANGA,SHINYANGA
18,S0152/0019,M,*S,*S,---,S0152,SHINYANGA,SHINYANGA
19,S0152/0020,M,14,I,CIV - 'B' HIST - 'B' GEO - 'B' KISW - 'A' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'A' B/MATH - 'C',S0152,SHINYANGA,SHINYANGA
20,S0152/0021,M,12,I,CIV - 'B' HIST - 'B' GEO - 'B' KISW - 'A' ENGL - 'C' PHY - 'C' CHEM - 'B' BIO - 'B' B/MATH - 'A',S0152,SHINYANGA,SHINYANGA
