,CNO,SEX,AGGT,DIV,DETAILED SUBJECTS,centre_ref,centre_name,region
0,S0134/0001,M,22,III,CIV - 'C' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'D',S0134,MOSHI,KILIMANJARO
1,S0134/0002,M,18,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'A' ENGL - 'C' BIO - 'C' B/MATH - 'B' COMM - 'C',S0134,MOSHI,KILIMANJARO
2,S0134/0003,M,23,III,CIV - 'C' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'C' BIO - 'C' B/MATH - 'F' COMM - 'D' B/KEEPING - 'C',S0134,MOSHI,KILIMANJARO
3,S0134/0004,M,17,I,CIV - 'B' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'B' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'C',S0134,MOSHI,KILIMANJARO
4,S0134/0005,M,20,II,CIV - 'C' HIST - 'D' GEO - 'C' KISW - 'B' ENGL - 'C' PHY - 'F' CHEM - 'D' BIO - 'B' B/MATH - 'C',S0134,MOSHI,KILIMANJARO
5,S0134/0006,M,34,0,CIV - 'F' HIST - 'F' GEO - 'F' KISW - 'D' ENGL - 'F' BIO - 'F' B/MATH - 'F' COMM - 'F',S0134,MOSHI,KILIMANJARO
6,S0134/0007,M,17,I,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'A' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'B',S0134,MOSHI,KILIMANJARO
7,S0134/0008,M,30,IV,CIV - 'D' HIST - 'D' GEO - 'F' KISW - 'D' ENGL - 'D' PHY - 'F' CHEM - 'F' BIO - 'D' B/MATH - 'F',S0134,MOSHI,KILIMANJARO
8,S0134/0009,M,18,II,CIV - 'C' HIST - 'B' GEO - 'C' KISW - 'C' ENGL - 'A' PHY - 'F' CHEM - 'D' BIO - 'C' B/MATH - 'C',S0134,MOSHI,KILIMANJARO
9,S0134/0010,M,15,I,CIV - 'A' HIST - 'B' GEO - 'C' KISW - 'B' ENGL - 'B' BIO - 'B' B/MATH - 'D' COMM - 'C' B/KEEPING - 'C',S0134,MOSHI,KILIMANJARO
10,S0134/0011,M,18,II,CIV - 'B' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'B' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'D',S0134,MOSHI,KILIMANJARO
11,S0134/0012,M,12,I,CIV - 'B' HIST - 'B' GEO - 'B' KISW - 'B' ENGL - 'B' PHY - 'B' CHEM - 'B' BIO - 'A' B/MATH - 'A',S0134,MOSHI,KILIMANJARO
12,S0134/0013,M,19,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'B' PHY - 'F' CHEM - 'C' BIO - 'B' B/MATH - 'D',S0134,MOSHI,KILIMANJARO
13,S0134/0014,M,24,III,CIV - 'C' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'C' BIO - 'C' B/MATH - 'F' COMM - 'D' B/KEEPING - 'F',S0134,MOSHI,KILIMANJARO
14,S0134/0015,M,12,I,CIV - 'B' HIST - 'C' GEO - 'B' KISW - 'B' ENGL - 'A' PHY - 'C' CHEM - 'B' BIO - 'B' B/MATH - 'A',S0134,MOSHI,KILIMANJARO
15,S0134/0016,M,22,III,CIV - 'C' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'B' BIO - 'C' B/MATH - 'D' COMM - 'D' B/KEEPING - 'D',S0134,MOSHI,KILIMANJARO
16,S0134/0017,M,17,I,CIV - 'B' HIST - 'B' GEO - 'C' KISW - 'B' ENGL - 'C' PHY - 'D' CHEM - 'B' BIO - 'C' B/MATH - 'C',S0134,MOSHI,KILIMANJARO
17,S0134/0018,M,22,III,CIV - 'C' HIST - 'D' GEO - 'C' KISW - 'C' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'D',S0134,MOSHI,KILIMANJARO
18,S0134/0019,M,22,III,CIV - 'C' HIST - 'D' GEO - 'C' KISW - 'C' ENGL - 'C' LIT ENG - 'C' PHY - 'D' CHEM - 'D' BIO - 'C' B/MATH - 'F',S0134,MOSHI,KILIMANJARO
19,S0134/0020,M,16,I,CIV - 'C' HIST - 'C' GEO - 'B' KISW - 'B' ENGL - 'B' PHY - 'C' CHEM - 'C' BIO - 'A' B/MATH - 'C',S0134,MOSHI,KILIMANJARO
20,S0134/0021,M,28,IV,CIV - 'D' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'D' LIT ENG - 'F' BIO - 'D',S0134,MOSHI,KILIMANJARO
21,S0134/0022,M,25,III,CIV - 'C' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'C' LIT ENG - 'D' BIO - 'D' B/MATH - 'F',S0134,MOSHI,KILIMANJARO
22,S0134/0023,M,15,I,CIV - 'B' HIST - 'B' GEO - 'C' KISW - 'B' ENGL - 'A' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'D',S0134,MOSHI,KILIMANJARO
23,S0134/0024,M,21,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'C' BIO - 'C' B/MATH - 'D' COMM - 'C' B/KEEPING - 'D',S0134,MOSHI,KILIMANJARO
24,S0134/0025,M,29,IV,CIV - 'D' HIST - 'D' GEO - 'F' KISW - 'C' ENGL - 'D' LIT ENG - 'F' BIO - 'D' B/MATH - 'F',S0134,MOSHI,KILIMANJARO
25,S0134/0026,M,10,I,CIV - 'A' HIST - 'B' GEO - 'B' KISW - 'B' ENGL - 'C' PHY - 'B' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0134,MOSHI,KILIMANJARO
26,S0134/0027,M,17,I,CIV - 'B' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'B' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'C',S0134,MOSHI,KILIMANJARO
27,S0134/0028,M,22,III,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'C' PHY - 'F' CHEM - 'D' BIO - 'C' B/MATH - 'F',S0134,MOSHI,KILIMANJARO
28,S0134/0029,M,32,IV,CIV - 'D' HIST - 'F' GEO - 'F' KISW - 'C' ENGL - 'F' LIT ENG - 'F' BIO - 'F' B/MATH - 'F',S0134,MOSHI,KILIMANJARO
29,S0134/0030,M,14,I,CIV - 'A' HIST - 'B' GEO - 'C' KISW - 'C' ENGL - 'B' BIO - 'A' B/MATH - 'C' COMM - 'B' B/KEEPING - 'C',S0134,MOSHI,KILIMANJARO
30,S0134/0031,M,9,I,CIV - 'B' HIST - 'B' GEO - 'B' KISW - 'A' ENGL - 'A' PHY - 'C' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0134,MOSHI,KILIMANJARO
31,S0134/0032,M,9,I,CIV - 'B' HIST - 'B' GEO - 'B' KISW - 'A' ENGL - 'A' PHY - 'C' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0134,MOSHI,KILIMANJARO
32,S0134/0033,M,21,II,CIV - 'C' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'C',S0134,MOSHI,KILIMANJARO
33,S0134/0034,M,10,I,CIV - 'B' HIST - 'B' GEO - 'B' KISW - 'A' ENGL - 'C' PHY - 'C' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0134,MOSHI,KILIMANJARO
34,S0134/0035,M,24,III,CIV - 'C' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'C' BIO - 'D' B/MATH - 'F' COMM - 'F' B/KEEPING - 'D',S0134,MOSHI,KILIMANJARO
35,S0134/0036,M,22,III,CIV - 'C' HIST - 'D' GEO - 'C' KISW - 'C' ENGL - 'C' PHY - 'F' CHEM - 'C' BIO - 'C' B/MATH - 'D',S0134,MOSHI,KILIMANJARO
36,S0134/0037,M,17,I,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'A' PHY - 'D' CHEM - 'C' BIO - 'A' B/MATH - 'D',S0134,MOSHI,KILIMANJARO
37,S0134/0038,M,19,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'D',S0134,MOSHI,KILIMANJARO
38,S0134/0039,M,21,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'C',S0134,MOSHI,KILIMANJARO
39,S0134/0040,M,23,III,CIV - 'D' HIST - 'C' GEO - 'D' KISW - 'A' ENGL - 'C' LIT ENG - 'D' BIO - 'D',S0134,MOSHI,KILIMANJARO
40,S0134/0041,M,14,I,CIV - 'C' HIST - 'B' GEO - 'B' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'B' BIO - 'B' B/MATH - 'A',S0134,MOSHI,KILIMANJARO
41,S0134/0042,M,14,I,CIV - 'B' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'A',S0134,MOSHI,KILIMANJARO
42,S0134/0043,M,30,IV,CIV - 'F' HIST - 'D' GEO - 'F' KISW - 'C' ENGL - 'D' LIT ENG - 'F' BIO - 'D' B/MATH - 'X',S0134,MOSHI,KILIMANJARO
43,S0134/0044,M,26,IV,CIV - 'D' HIST - 'C' GEO - 'F' KISW - 'D' ENGL - 'D' PHY - 'F' CHEM - 'D' BIO - 'C' B/MATH - 'D',S0134,MOSHI,KILIMANJARO
44,S0134/0045,M,12,I,CIV - 'C' HIST - 'B' GEO - 'B' KISW - 'B' ENGL - 'C' PHY - 'B' CHEM - 'A' BIO - 'A' B/MATH - 'B',S0134,MOSHI,KILIMANJARO
45,S0134/0046,M,18,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'C' LIT ENG - 'B' PHY - 'X' CHEM - 'C' BIO - 'B' B/MATH - 'C',S0134,MOSHI,KILIMANJARO
46,S0134/0047,M,21,II,CIV - 'C' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'F',S0134,MOSHI,KILIMANJARO
47,S0134/0048,M,17,I,CIV - 'B' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'A' BIO - 'B' B/MATH - 'C' COMM - 'C' B/KEEPING - 'C',S0134,MOSHI,KILIMANJARO
48,S0134/0049,M,7,I,CIV - 'A' HIST - 'A' GEO - 'B' KISW - 'A' ENGL - 'A' PHY - 'C' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0134,MOSHI,KILIMANJARO
49,S0134/0050,M,24,III,CIV - 'D' HIST - 'C' GEO - 'D' KISW - 'C' ENGL - 'D' PHY - 'F' CHEM - 'C' BIO - 'C' B/MATH - 'F',S0134,MOSHI,KILIMANJARO
50,S0134/0051,M,18,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'A' BIO - 'A' B/MATH - 'D' COMM - 'D' B/KEEPING - 'D',S0134,MOSHI,KILIMANJARO
51,S0134/0053,M,19,II,CIV - 'B' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'D',S0134,MOSHI,KILIMANJARO
52,S0134/0054,M,20,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'F',S0134,MOSHI,KILIMANJARO
53,S0134/0055,M,15,I,CIV - 'C' HIST - 'C' GEO - 'B' KISW - 'C' ENGL - 'A' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'C',S0134,MOSHI,KILIMANJARO
54,S0134/0056,M,23,III,CIV - 'C' HIST - 'D' GEO - 'D' KISW - 'C' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'D',S0134,MOSHI,KILIMANJARO
