,CNO,SEX,AGGT,DIV,DETAILED SUBJECTS,centre_ref,centre_name,region
0,S0169/0001,M,8,I,CIV - 'C' HIST - 'A' GEO - 'A' KISW - 'A' ENGL - 'B' PHY - 'C' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
1,S0169/0002,M,7,I,CIV - 'B' HIST - 'A' GEO - 'A' KISW - 'A' ENGL - 'A' PHY - 'B' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
2,S0169/0003,M,11,I,CIV - 'C' HIST - 'B' GEO - 'B' KISW - 'B' ENGL - 'C' PHY - 'B' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
3,S0169/0004,M,18,II,CIV - 'C' HIST - 'B' GEO - 'C' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'C' BIO - 'C' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
4,S0169/0005,M,11,I,CIV - 'C' HIST - 'B' GEO - 'A' KISW - 'B' ENGL - 'B' PHY - 'B' CHEM - 'B' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
5,S0169/0006,M,15,I,CIV - 'C' HIST - 'B' GEO - 'B' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'B' BIO - 'B' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
6,S0169/0007,M,12,I,CIV - 'C' HIST - 'C' GEO - 'A' KISW - 'A' ENGL - 'B' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
7,S0169/0008,M,18,II,CIV - 'C' HIST - 'C' GEO - 'B' KISW - 'B' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'C',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
8,S0169/0009,M,11,I,CIV - 'C' HIST - 'A' GEO - 'A' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'A' BIO - 'A' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
9,S0169/0010,M,11,I,CIV - 'C' HIST - 'B' GEO - 'B' KISW - 'A' ENGL - 'B' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
10,S0169/0011,M,14,I,CIV - 'B' HIST - 'C' GEO - 'B' KISW - 'C' ENGL - 'B' PHY - 'C' CHEM - 'A' BIO - 'B' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
11,S0169/0012,M,7,I,CIV - 'C' HIST - 'A' GEO - 'A' KISW - 'A' ENGL - 'A' PHY - 'B' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
12,S0169/0013,M,10,I,CIV - 'C' HIST - 'A' GEO - 'B' KISW - 'A' ENGL - 'C' PHY - 'C' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
13,S0169/0014,M,17,I,CIV - 'C' HIST - 'C' GEO - 'B' KISW - 'B' ENGL - 'B' PHY - 'C' CHEM - 'C' BIO - 'B' B/MATH - 'C',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
14,S0169/0015,M,10,I,CIV - 'B' HIST - 'B' GEO - 'B' KISW - 'A' ENGL - 'A' PHY - 'C' CHEM - 'A' BIO - 'A' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
15,S0169/0016,M,11,I,CIV - 'C' HIST - 'B' GEO - 'A' KISW - 'B' ENGL - 'B' PHY - 'B' CHEM - 'B' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
16,S0169/0017,M,16,I,CIV - 'C' HIST - 'C' GEO - 'B' KISW - 'B' ENGL - 'C' PHY - 'D' CHEM - 'B' BIO - 'C' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
17,S0169/0018,M,7,I,CIV - 'C' HIST - 'A' GEO - 'A' KISW - 'A' ENGL - 'A' PHY - 'B' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
18,S0169/0019,M,9,I,CIV - 'B' HIST - 'A' GEO - 'A' KISW - 'B' ENGL - 'B' PHY - 'C' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
19,S0169/0020,M,16,I,CIV - 'B' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'B' BIO - 'B' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
20,S0169/0021,M,14,I,CIV - 'C' HIST - 'B' GEO - 'C' KISW - 'B' ENGL - 'A' PHY - 'D' CHEM - 'B' BIO - 'A' B/MATH - 'C',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
21,S0169/0022,M,12,I,CIV - 'B' HIST - 'B' GEO - 'B' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'A' BIO - 'A' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
22,S0169/0023,M,13,I,CIV - 'B' HIST - 'B' GEO - 'B' KISW - 'B' ENGL - 'B' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
23,S0169/0024,M,15,I,CIV - 'C' HIST - 'B' GEO - 'B' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'B' BIO - 'C' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
24,S0169/0025,M,12,I,CIV - 'C' HIST - 'B' GEO - 'B' KISW - 'A' ENGL - 'C' PHY - 'C' CHEM - 'A' BIO - 'A' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
25,S0169/0026,M,16,I,CIV - 'C' HIST - 'C' GEO - 'B' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'B' BIO - 'B' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
26,S0169/0027,M,11,I,CIV - 'B' HIST - 'B' GEO - 'A' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
27,S0169/0028,M,10,I,CIV - 'C' HIST - 'B' GEO - 'A' KISW - 'A' ENGL - 'B' PHY - 'B' CHEM - 'B' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
28,S0169/0029,M,15,I,CIV - 'C' HIST - 'C' GEO - 'B' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'B' BIO - 'B' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
29,S0169/0030,M,15,I,CIV - 'C' HIST - 'B' GEO - 'C' KISW - 'A' ENGL - 'C' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'C',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
30,S0169/0031,M,13,I,CIV - 'B' HIST - 'A' GEO - 'C' KISW - 'B' ENGL - 'B' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'C',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
31,S0169/0032,M,7,I,CIV - 'B' HIST - 'A' GEO - 'A' KISW - 'A' ENGL - 'A' PHY - 'B' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
32,S0169/0033,M,8,I,CIV - 'B' HIST - 'A' GEO - 'A' KISW - 'A' ENGL - 'B' PHY - 'B' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
33,S0169/0034,M,17,I,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'B' BIO - 'B' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
34,S0169/0035,M,11,I,CIV - 'B' HIST - 'B' GEO - 'B' KISW - 'A' ENGL - 'B' PHY - 'B' CHEM - 'B' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
35,S0169/0036,M,15,I,CIV - 'C' HIST - 'B' GEO - 'C' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'B' BIO - 'B' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
36,S0169/0037,M,13,I,CIV - 'C' HIST - 'B' GEO - 'B' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
37,S0169/0038,M,15,I,CIV - 'C' HIST - 'C' GEO - 'B' KISW - 'A' ENGL - 'B' PHY - 'C' CHEM - 'C' BIO - 'C' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
38,S0169/0039,M,9,I,CIV - 'B' HIST - 'A' GEO - 'B' KISW - 'A' ENGL - 'A' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
39,S0169/0040,M,18,II,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'C' PHY - 'C' CHEM - 'C' BIO - 'B' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
40,S0169/0041,M,14,I,CIV - 'C' HIST - 'B' GEO - 'C' KISW - 'B' ENGL - 'B' PHY - 'C' CHEM - 'B' BIO - 'A' B/MATH - 'B',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
41,S0169/0042,M,9,I,CIV - 'C' HIST - 'B' GEO - 'A' KISW - 'B' ENGL - 'A' PHY - 'B' CHEM - 'A' BIO - 'A' B/MATH - 'A',S0169,BIHAWANA JUNIOR SEMINARY,DODOMA
