,CNO,SEX,AGGT,DIV,DETAILED SUBJECTS,centre_ref,centre_name,region
0,S0223/0001,F,20,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'C' KISW - 'B' ENGL - 'C' CHEM - 'C' BIO - 'C' B/MATH - 'F',S0223,MASAMA GIRLS,KILIMANJARO
1,S0223/0002,F,11,I,CIV - 'C' HIST - 'B' GEO - 'B' B/KNOWL - 'B' KISW - 'B' ENGL - 'A' PHY - 'C' CHEM - 'A' BIO - 'A' B/MATH - 'C',S0223,MASAMA GIRLS,KILIMANJARO
2,S0223/0003,F,12,I,CIV - 'B' HIST - 'B' GEO - 'B' B/KNOWL - 'C' KISW - 'A' ENGL - 'B' BIO - 'B' B/MATH - 'B' COMM - 'A' B/KEEPING - 'B',S0223,MASAMA GIRLS,KILIMANJARO
3,S0223/0004,F,22,III,CIV - 'D' HIST - 'C' GEO - 'C' B/KNOWL - 'C' KISW - 'C' ENGL - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'D',S0223,MASAMA GIRLS,KILIMANJARO
4,S0223/0005,F,18,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'C' KISW - 'B' ENGL - 'B' PHY - 'C' CHEM - 'C' BIO - 'B' B/MATH - 'D',S0223,MASAMA GIRLS,KILIMANJARO
5,S0223/0006,F,21,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'D' KISW - 'B' ENGL - 'C' BIO - 'C' B/MATH - 'F',S0223,MASAMA GIRLS,KILIMANJARO
6,S0223/0007,F,20,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'D' KISW - 'B' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'C' B/MATH - 'D',S0223,MASAMA GIRLS,KILIMANJARO
7,S0223/0008,F,15,I,CIV - 'C' HIST - 'C' GEO - 'B' B/KNOWL - 'B' KISW - 'B' ENGL - 'A' PHY - 'C' CHEM - 'C' BIO - 'B' B/MATH - 'C',S0223,MASAMA GIRLS,KILIMANJARO
8,S0223/0009,F,17,I,CIV - 'C' HIST - 'C' GEO - 'B' B/KNOWL - 'C' KISW - 'C' ENGL - 'B' PHY - 'C' CHEM - 'B' BIO - 'B' B/MATH - 'D',S0223,MASAMA GIRLS,KILIMANJARO
9,S0223/0010,F,21,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'C' KISW - 'C' ENGL - 'C' CHEM - 'D' BIO - 'C' B/MATH - 'C',S0223,MASAMA GIRLS,KILIMANJARO
10,S0223/0011,F,22,III,CIV - 'C' HIST - 'D' GEO - 'C' B/KNOWL - 'D' KISW - 'C' ENGL - 'C' PHY - 'F' CHEM - 'C' BIO - 'C' B/MATH - 'D',S0223,MASAMA GIRLS,KILIMANJARO
11,S0223/0012,F,14,I,CIV - 'C' HIST - 'B' GEO - 'B' B/KNOWL - 'B' KISW - 'C' ENGL - 'A' PHY - 'C' CHEM - 'C' BIO - 'A' B/MATH - 'C',S0223,MASAMA GIRLS,KILIMANJARO
12,S0223/0013,F,24,III,CIV - 'C' HIST - 'C' GEO - 'C' KISW - 'C' ENGL - 'C' BIO - 'D' B/MATH - 'F',S0223,MASAMA GIRLS,KILIMANJARO
13,S0223/0014,F,20,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'C' KISW - 'B' ENGL - 'C' BIO - 'C' B/MATH - 'F',S0223,MASAMA GIRLS,KILIMANJARO
14,S0223/0015,F,19,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'C' KISW - 'C' ENGL - 'B' BIO - 'B' B/MATH - 'F' COMM - 'C' B/KEEPING - 'C',S0223,MASAMA GIRLS,KILIMANJARO
15,S0223/0016,F,20,II,CIV - 'D' HIST - 'C' GEO - 'C' B/KNOWL - 'D' KISW - 'B' ENGL - 'C' BIO - 'C' B/MATH - 'D' COMM - 'C' B/KEEPING - 'C',S0223,MASAMA GIRLS,KILIMANJARO
16,S0223/0017,F,21,II,CIV - 'B' HIST - 'C' GEO - 'C' KISW - 'B' ENGL - 'C' BIO - 'C' B/MATH - 'F',S0223,MASAMA GIRLS,KILIMANJARO
17,S0223/0018,F,20,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'C' KISW - 'C' ENGL - 'C' PHY - 'D' CHEM - 'C' BIO - 'B' B/MATH - 'D',S0223,MASAMA GIRLS,KILIMANJARO
18,S0223/0019,F,21,II,CIV - 'D' HIST - 'C' GEO - 'C' B/KNOWL - 'C' KISW - 'C' ENGL - 'C' BIO - 'C' B/MATH - 'D' COMM - 'C' B/KEEPING - 'C',S0223,MASAMA GIRLS,KILIMANJARO
19,S0223/0020,F,19,II,CIV - 'C' HIST - 'C' GEO - 'C' B/KNOWL - 'C' KISW - 'A' ENGL - 'C' PHY - 'C' CHEM - 'C' BIO - 'C' B/MATH - 'C',S0223,MASAMA GIRLS,KILIMANJARO
20,S0223/0021,F,24,III,CIV - 'D' HIST - 'D' GEO - 'C' B/KNOWL - 'D' KISW - 'C' ENGL - 'C' BIO - 'C' B/MATH - 'F',S0223,MASAMA GIRLS,KILIMANJARO
